FORMNummer;KLE nummer
37.10.30.10;Ikke med i KLE
37.10.30.20;Ikke med i KLE
37.25;09.00.00
37.25.02;"09.02.00;09.35.00"
37.25.02.05;"09.02.00;09.02.01;09.02.02;09.02.03;09.02.04;09.02.05;09.02.06;09.02.08;09.02.09;09.02.11;09.02.15;09.02.16"
37.25.02.10;"09.02.00;09.02.01;09.02.02;09.02.03;09.02.04;09.02.05;09.02.06;09.02.08;09.02.09;09.02.11;09.02.15;09.02.16"
37.25.02.12;09.30.00
37.25.02.15;09.02.00
37.25.02.20;09.35.00
37.25.03;09.17.00
37.25.03.02;"09.17.01;09.17.02;09.17.19"
37.25.03.04;"09.17.01;09.17.02;09.17.21"
37.25.03.06;"09.17.24;09.17.38;09.17.39;09.17.41;09.17.44;09.17.50;09.17.51;09.17.53"
37.25.03.08;"09.17.03;09.17.04;09.17.05;09.17.06;09.17.07;09.17.08;09.17.09"
37.25.03.20;09.17.00
37.25.03.25;09.17.60
37.25.03.30;"09.04.00;09.04.01;09.04.05"
37.25.04;"09.11.00;09.20.08"
37.25.04.05;09.11.00
37.25.04.10;09.20.08
37.25.06;"09.18.00;09.18.17"
37.25.06.05;09.18.14
37.25.06.10;09.18.01
37.25.06.20;09.18.02
37.25.06.30;09.18.05
37.25.06.40;09.18.10
37.25.12;"09.01.07;09.19.00"
37.25.12.05;"09.19.01;09.19.02"
37.25.12.10;09.01.07
37.25.15;09.08.00
37.25.15.02;"09.08.20;09.08.22"
37.25.15.05;09.08.35
37.25.15.10;09.08.00
37.25.17;06.00.00
37.25.17.05;06.00.05
37.25.17.10;Ikke med i KLE
37.25.21;06.01.00
37.25.21.05;"06.01.03;06.01.25"
37.25.21.10;06.01.06
37.25.21.15;06.01.15
37.25.21.20;06.01.17
37.25.21.25;06.01.38
37.25.21.30;06.01.29
37.25.21.35;"06.01.26;06.01.32"
37.25.21.40;06.01.35
37.25.21.45;06.01.41
37.25.21.50;06.01.44
37.25.21.55;06.01.47
37.25.21.60;06.01.20
37.25.24;"06.03.00;06.11.00"
37.25.24.05;"06.03.00;06.03.01;06.03.02;06.03.03;06.03.10;06.03.11;06.03.12;06.03.20"
37.25.24.10;06.00.10
37.25.24.15;"06.11.00;06.11.01;06.11.05"
37.25.26;06.02.00
37.25.26.05;06.02.00
37.25.26.10;06.02.02
37.25.26.15;"06.02.03;06.02.04"
37.25.26.20;"06.02.10;06.02.30"
37.25.26.25;06.02.11
37.25.26.30;06.02.15
37.25.26.35;06.02.16
37.25.26.40;Ikke med i KLE
37.25.26.45;06.02.35
37.25.26.50;06.02.40
37.25.30;09.08.00
37.25.30.10;09.08.15
37.25.30.15;07.04.15
37.25.30.20;09.08.05
37.25.30.25;09.08.06
37.25.30.30;09.08.15
37.25.38;"09.13.00;09.13.03;09.13.04;09.13.06"
37.25.38.05;09.13.01
37.25.42;09.16.00
37.25.42.05;Ikke med i KLE
37.25.42.10;09.16.00
37.25.42.15;09.16.00
37.25.44;09.25.00
37.25.44.10;09.25.00
37.25.44.20;09.25.00
37.25.46;09.10.00
37.25.46.05;09.10.04
37.25.48;Ikke med i KLE
37.25.48.10;Ikke med i KLE
37.25.50;Ikke med i KLE
37.25.50.05;Ikke med i KLE
37.25.50.10;Ikke med i KLE
37.25.50.15;Ikke med i KLE
37.30;"01.16.00;09.00.04"
37.30.05;"01.16.00;09.00.04"
37.30.05.05;09.00.04
37.30.05.07;09.00.04
37.30.05.09;Ikke med i KLE
37.30.05.10;"01.16.00;01.16.04 "
37.30.05.15;01.16.06
37.30.10;09.10.00
37.30.10.05;"09.10.12;09.10.08"
37.30.15;09.00.08
37.30.15.05;09.00.08
37.30.15.10;Ikke med i KLE
37.40;07.00.00
37.40.10;07.00.00
37.40.10.10;07.16.00
37.40.10.20;07.00.01
37.40.10.30;07.00.03
37.40.10.40;Ikke med i KLE
37.40.10.50;Ikke med i KLE
37.40.10.60;07.00.10 
37.40.20;07.18.00
37.40.20.10;07.18.06
37.40.20.20;"07.18.10;07.18.20"
37.40.20.30;07.18.00
37.40.20.40;07.13.00
37.40.30;07.17.00
37.40.30.10;07.17.08
37.40.30.20;07.17.00
37.40.30.30;07.17.00
37.40.30.40;07.17.00
37.40.30.50;07.13.00
37.40.40;"07.03.00;07.04.00"
37.40.40.10;"07.04.20;07.08.00"
37.40.40.20;07.04.04
37.40.40.30;"07.03.00;07.03.03;07.03.10;07.03.11"
37.40.40.35;07.13.00
37.40.40.40;07.13.00
38;"01;04;09"
38.05;Ikke med i KLE
38.05.05;Ikke med i KLE
38.05.05.05;Ikke med i KLE
38.10;Ikke med i KLE
38.10.05;01.05.15
38.10.05.05;01.05.15
38.10.05.10;01.05.15
38.10.05.15;01.05.15
38.10.05.20;01.05.15
38.10.05.25;01.05.15
38.10.05.30;Ikke med i KLE
38.10.10;01.05.00
38.10.10.05;"01.05.00;01.05.12"
38.10.10.10;01.05.00
38.10.10.12;01.05.00
38.10.10.14;Ikke med i KLE
38.10.10.15;01.05.13
38.10.10.17;Ikke med i KLE
38.10.15;Ikke med i KLE
38.10.15.05;Ikke med i KLE
38.10.15.10;Ikke med i KLE
38.10.15.15;Ikke med i KLE
38.10.15.18;Ikke med i KLE
38.10.15.22;Ikke med i KLE
38.10.15.25;Ikke med i KLE
38.10.20;"04.01.00;04.03.00"
38.10.20.05;"04.01.00;04.01.09;04.01.10;04.01.11;04.01.14;04.01.15;04.01.16;04.01.20;04.05.00"
38.10.20.10;04.03.00
38.20;01.05.00
38.20.05;01.05.09
38.20.05.05;01.05.09 
38.20.05.10;01.05.09 
38.20.08;Ikke med i KLE
38.20.08.05;Ikke med i KLE
38.20.08.10;Ikke med i KLE
38.20.10;01.05.08
38.20.10.03;01.05.08
38.20.10.07;01.05.08
38.20.10.15;01.05.08
38.20.10.20;01.05.08
38.20.10.25;01.05.08
38.20.10.30;01.05.08
38.20.10.35;01.05.08
38.20.10.40;01.05.08
38.20.11;09.00.07
38.20.11.05;09.00.07
38.20.11.10;09.00.07
38.20.11.15;09.00.07
38.20.11.20;09.00.07
38.20.11.25;09.00.07
38.20.11.30;09.00.07
38.20.11.35;09.00.07
38.20.11.40;09.00.07
38.20.12;"04.10.00;04.11.00"
38.20.12.05;"04.10.00;04.10.03;04.10.10;04.10.20"
38.20.12.10;"04.11.00;04.11.03;04.11.04;04.11.09;04.11.16;04.11.20"
38.20.15;01.05.10
38.20.15.05;01.05.10
38.20.15.10;Ikke med i KLE
38.20.20;"01.05.11;04.20.00"
38.20.20.05;"01.05.11;04.20.00"
38.20.20.10;01.05.11
38.20.25;01.05.02
38.20.25.05;01.05.02
38.20.25.10;01.05.02
38.20.25.15;01.05.02
38.20.25.20;01.05.02
38.20.25.25;01.05.02
38.20.30;01.05.18
38.20.30.05;01.05.18
38.20.30.10;Ikke med i KLE
38.20.30.15;Ikke med i KLE
38.20.30.20;Ikke med i KLE
38.20.30.25;Ikke med i KLE
38.20.30.30;Ikke med i KLE
38.20.30.35;Ikke med i KLE
38.20.35;04.18.00
38.20.35.02;04.18.00
38.20.35.07;04.18.00
38.20.35.09;04.18.00
38.20.35.11;04.18.00
38.20.35.12;04.18.00
38.20.35.13;04.18.00
38.20.35.14;04.18.00
38.20.35.16;Ikke med i KLE
38.20.35.18;Ikke med i KLE
38.20.35.23;14.12.25
38.20.35.25;Ikke med i KLE
38.20.35.35;Ikke med i KLE
38.20.40;Ikke med i KLE
38.20.40.10;Ikke med i KLE
38.40;01.09.00
38.40.10;Ikke med i KLE
38.40.10.05;Ikke med i KLE
38.40.10.10;Ikke med i KLE
38.40.10.15;Ikke med i KLE
38.40.10.20;Ikke med i KLE
38.40.20;Ikke med i KLE
38.40.20.05;Ikke med i KLE
38.40.20.10;Ikke med i KLE
38.40.20.15;Ikke med i KLE
38.40.30;01.09.00
38.40.30.05;"01.09.00;01.09.05;01.09.10"
38.40.30.10;Ikke med i KLE
38.40.40;Ikke med i KLE
38.40.40.05;Ikke med i KLE
38.40.40.07;Ikke med i KLE
38.40.40.10;Ikke med i KLE
38.40.50;Ikke med i KLE
38.40.50.05;Ikke med i KLE
38.40.50.10;Ikke med i KLE
38.50;Ikke med i KLE
38.50.10;Ikke med i KLE
38.50.10.02;Ikke med i KLE
38.50.10.05;Ikke med i KLE
38.50.10.10;Ikke med i KLE
38.50.10.15;Ikke med i KLE
38.50.10.20;Ikke med i KLE
38.50.10.25;Ikke med i KLE
38.50.10.35;Ikke med i KLE
38.50.10.40;06.00.07
38.50.20;Ikke med i KLE
38.50.20.05;Ikke med i KLE
38.50.20.10;Ikke med i KLE
38.50.20.15;Ikke med i KLE
38.50.20.20;Ikke med i KLE
38.50.20.25;Ikke med i KLE
40;30
40.15;Ikke med i KLE
40.15.02;Ikke med i KLE
40.15.02.05;Ikke med i KLE
40.15.02.10;Ikke med i KLE
40.15.05;"27.25.00;27.12.26"
40.15.05.07;Ikke med i KLE
40.15.05.10;"27.25.00;27.25.08;27.25.12"
40.15.05.15;"27.12.26;27.12.30"
40.15.05.17;27.12.34
40.15.05.20;30.10.10
40.15.05.25;Ikke med i KLE
40.15.05.30;Ikke med i KLE
40.15.08;Ikke med i KLE
40.15.08.05;Ikke med i KLE
40.15.10;Ikke med i KLE
40.15.10.06;Ikke med i KLE
40.15.10.09;Ikke med i KLE
40.15.10.17;Ikke med i KLE
40.15.11;Ikke med i KLE
40.15.11.05;Ikke med i KLE
40.15.11.10;Ikke med i KLE
40.15.11.15;Ikke med i KLE
40.15.11.20;Ikke med i KLE
40.15.12;Ikke med i KLE
40.15.12.05;Ikke med i KLE
40.15.12.10;Ikke med i KLE
40.15.12.15;Ikke med i KLE
40.15.12.20;Ikke med i KLE
40.15.13;Ikke med i KLE
40.15.13.05;Ikke med i KLE
40.15.18;Ikke med i KLE
40.15.18.05;Ikke med i KLE
40.15.18.10;Ikke med i KLE
40.15.18.15;Ikke med i KLE
40.15.18.17;Ikke med i KLE
40.15.18.20;Ikke med i KLE
40.15.18.30;Ikke med i KLE
40.15.18.40;Ikke med i KLE
40.15.20;Ikke med i KLE
40.15.20.05;Ikke med i KLE
40.15.20.10;Ikke med i KLE
40.15.20.15;Ikke med i KLE
40.15.20.20;Ikke med i KLE
40.15.20.25;Ikke med i KLE
40.15.20.30;Ikke med i KLE
40.15.20.35;Ikke med i KLE
40.15.20.40;Ikke med i KLE
40.15.20.45;Ikke med i KLE
40.15.20.50;Ikke med i KLE
40.15.20.55;Ikke med i KLE
40.15.20.60;Ikke med i KLE
40.15.23;Ikke med i KLE
40.15.23.05;Ikke med i KLE
40.15.23.10;Ikke med i KLE
40.15.23.15;Ikke med i KLE
40.15.23.20;Ikke med i KLE
40.15.23.22;Ikke med i KLE
40.15.23.25;Ikke med i KLE
40.15.23.30;Ikke med i KLE
40.15.23.35;Ikke med i KLE
40.15.23.40;Ikke med i KLE
40.15.23.45;Ikke med i KLE
40.15.23.47;Ikke med i KLE
40.15.23.55;Ikke med i KLE
40.15.23.60;Ikke med i KLE
40.15.23.65;Ikke med i KLE
40.15.23.70;Ikke med i KLE
40.15.23.75;Ikke med i KLE
40.15.25;Ikke med i KLE
40.15.25.05;Ikke med i KLE
40.15.25.10;Ikke med i KLE
40.15.25.15;Ikke med i KLE
40.15.27;Ikke med i KLE
40.15.27.05;Ikke med i KLE
40.15.27.09;Ikke med i KLE
40.15.27.10;Ikke med i KLE
40.15.30;Ikke med i KLE
40.15.30.05;Ikke med i KLE
40.15.30.10;Ikke med i KLE
40.15.30.15;Ikke med i KLE
40.15.30.20;Ikke med i KLE
40.15.30.25;Ikke med i KLE
40.15.30.28;Ikke med i KLE
40.15.30.30;Ikke med i KLE
42;30
42.20;Ikke med i KLE
42.20.05;Ikke med i KLE
42.20.05.05;Ikke med i KLE
42.20.05.10;Ikke med i KLE
42.20.05.15;Ikke med i KLE
42.20.05.20;Ikke med i KLE
42.20.05.25;Ikke med i KLE
42.20.07;Ikke med i KLE
42.20.07.10;Ikke med i KLE
42.20.07.20;Ikke med i KLE
42.20.07.30;Ikke med i KLE
42.20.07.40;Ikke med i KLE
42.20.08;Ikke med i KLE
42.20.08.05;Ikke med i KLE
42.20.08.10;Ikke med i KLE
42.20.08.15;Ikke med i KLE
42.20.08.20;Ikke med i KLE
42.20.08.25;Ikke med i KLE
42.20.08.30;Ikke med i KLE
42.20.08.35;Ikke med i KLE
42.20.08.40;Ikke med i KLE
42.20.08.45;Ikke med i KLE
42.20.08.50;Ikke med i KLE
42.20.08.55;Ikke med i KLE
42.20.08.60;Ikke med i KLE
42.20.08.65;Ikke med i KLE
42.20.08.70;Ikke med i KLE
42.20.08.75;Ikke med i KLE
42.20.08.80;Ikke med i KLE
42.20.08.85;Ikke med i KLE
42.20.08.90;Ikke med i KLE
42.20.10;Ikke med i KLE
42.20.10.05;Ikke med i KLE
42.20.10.15;Ikke med i KLE
42.20.10.21;Ikke med i KLE
42.20.10.22;Ikke med i KLE
42.20.10.24;"25.45.02;25.45.03"
42.20.10.25;Ikke med i KLE
42.20.10.40;Ikke med i KLE
42.20.10.45;Ikke med i KLE
42.20.10.50;Ikke med i KLE
42.20.10.55;Ikke med i KLE
42.20.15;Ikke med i KLE
42.20.15.10;Ikke med i KLE
42.20.15.20;Ikke med i KLE
42.20.15.30;Ikke med i KLE
42.20.20;Ikke med i KLE
42.20.20.10;Ikke med i KLE
42.20.25;Ikke med i KLE
42.20.25.05;Ikke med i KLE
42.20.25.10;Ikke med i KLE
42.20.25.15;Ikke med i KLE
42.20.25.20;Ikke med i KLE
42.20.30;Ikke med i KLE
42.20.30.05;Ikke med i KLE
42.20.30.10;Ikke med i KLE
44;Ikke med i KLE
44.25;Ikke med i KLE
44.25.05;Ikke med i KLE
44.25.05.03;Ikke med i KLE
44.25.05.05;Ikke med i KLE
44.25.05.15;Ikke med i KLE
44.25.05.17;Ikke med i KLE
44.25.05.25;Ikke med i KLE
44.25.05.30;Ikke med i KLE
44.25.10;Ikke med i KLE
44.25.10.05;Ikke med i KLE
44.25.10.10;Ikke med i KLE
46;30
46.10;Ikke med i KLE
46.10.05;Ikke med i KLE
46.10.05.05;Ikke med i KLE
46.10.05.10;Ikke med i KLE
46.10.05.15;Ikke med i KLE
46.10.05.20;Ikke med i KLE
46.15;Ikke med i KLE
46.15.05;Ikke med i KLE
46.15.05.05;Ikke med i KLE
46.15.05.10;Ikke med i KLE
46.15.05.15;Ikke med i KLE
46.15.10;Ikke med i KLE
46.15.10.05;Ikke med i KLE
46.15.10.10;Ikke med i KLE
46.20;Ikke med i KLE
46.20.05;Ikke med i KLE
46.20.05.05;Ikke med i KLE
46.20.05.10;Ikke med i KLE
46.20.05.15;Ikke med i KLE
46.20.05.20;Ikke med i KLE
46.20.10;Ikke med i KLE
46.20.10.05;Ikke med i KLE
46.20.10.10;Ikke med i KLE
46.20.10.15;Ikke med i KLE
46.25;Ikke med i KLE
46.25.05;Ikke med i KLE
46.25.05.05;Ikke med i KLE
46.25.05.10;Ikke med i KLE
46.25.05.15;Ikke med i KLE
46.25.05.20;Ikke med i KLE
46.25.05.25;Ikke med i KLE
46.25.05.30;Ikke med i KLE
46.25.05.35;Ikke med i KLE
46.25.05.40;Ikke med i KLE
46.25.05.45;Ikke med i KLE
46.25.10;Ikke med i KLE
46.25.10.05;Ikke med i KLE
46.25.10.10;Ikke med i KLE
46.25.10.15;Ikke med i KLE
46.25.10.20;Ikke med i KLE
46.30;Ikke med i KLE
46.30.05;Ikke med i KLE
46.30.05.05;Ikke med i KLE
46.30.05.10;Ikke med i KLE
46.30.05.15;Ikke med i KLE
46.30.05.20;Ikke med i KLE
46.30.05.25;Ikke med i KLE
46.30.10;Ikke med i KLE
46.30.10.05;Ikke med i KLE
46.30.10.10;Ikke med i KLE
46.30.10.15;Ikke med i KLE
46.30.10.20;Ikke med i KLE
46.30.15;Ikke med i KLE
46.30.15.05;Ikke med i KLE
46.30.15.10;Ikke med i KLE
46.30.15.15;Ikke med i KLE
46.30.20;Ikke med i KLE
46.30.20.05;Ikke med i KLE
46.30.20.10;Ikke med i KLE
46.30.20.15;Ikke med i KLE
46.30.25;Ikke med i KLE
46.30.25.05;Ikke med i KLE
46.30.25.10;Ikke med i KLE
46.30.25.15;Ikke med i KLE
47;14
47.12;14.00.00
47.12.05;14.00.05
47.12.05.05;14.00.05
47.12.10;14.00.00
47.12.10.05;14.00.03
47.12.10.10;14.00.06
47.12.10.15;14.00.10
47.12.10.20;14.00.10
47.15;14.00.08
47.15.05;14.00.08
47.15.05.05;14.00.08
47.15.05.10;Ikke med i KLE
47.15.10;14.00.08
47.15.10.05;14.00.08
47.15.10.10;14.00.08
47.15.10.15;"14.00.08;14.00.10"
47.15.15;14.01.07
47.15.15.05;14.01.07
47.20;14.01.00
47.20.05;"14.01.00;14.10.00"
47.20.05.05;"14.01.00;14.10.00"
47.20.05.10;14.01.12
47.20.10;14.01.00
47.20.10.05;14.01.02
47.20.10.10;14.01.09
47.20.15;14.01.00
47.20.15.05;14.01.05
47.20.15.10;14.01.05
47.20.15.15;14.01.05
47.20.15.20;14.01.05
47.20.15.25;14.01.05
47.20.15.27;Ikke med i KLE
47.20.15.30;14.01.05
47.20.15.35;14.01.05
47.20.15.40;14.00.12
47.20.20;14.01.01
47.20.20.05;14.01.01
47.20.25;14.01.04
47.20.25.05;14.01.04
47.20.25.10;14.01.04
47.25;"14.00.08;14.01.01"
47.25.05;Ikke med i KLE
47.25.05.05;Ikke med i KLE
47.25.10;14.01.01
47.25.10.05;14.01.01
47.25.10.10;14.01.01
47.25.15;14.00.08
47.25.15.05;Ikke med i KLE
47.25.15.10;Ikke med i KLE
47.25.15.15;14.00.08
47.25.15.20;Ikke med i KLE
47.25.20;Ikke med i KLE
47.25.20.05;Ikke med i KLE
47.25.20.10;Ikke med i KLE
47.25.20.15;Ikke med i KLE
47.25.20.20;Ikke med i KLE
47.25.25;Ikke med i KLE
47.25.25.05;Ikke med i KLE
47.25.30;Ikke med i KLE
47.25.30.05;Ikke med i KLE
47.30;"14.02.00;14.06.00;14.09.00;14.12.00"
47.30.05;14.12.00
47.30.05.05;14.12.00
47.30.05.10;14.12.00
47.30.05.15;"14.12.00;14.12.17"
47.30.05.20;14.12.16
47.30.05.30;14.12.28
47.30.05.35;14.12.18
47.30.05.40;14.12.22
47.30.05.45;14.12.20
47.30.10;14.06.00
47.30.10.05;14.06.02
47.30.10.10;"14.06.01;14.06.20"
47.30.15;Ikke med i KLE
47.30.15.05;Ikke med i KLE
47.30.15.10;Ikke med i KLE
47.30.20;14.02.00
47.30.20.05;"14.02.00;14.02.01"
47.30.25;14.09.00
47.30.25.05;"14.09.00;14.09.04"
47.30.25.10;"14.09.00;14.09.04"
47.35;14.07.00
47.35.05;14.07.00
47.35.05.05;14.07.01
47.35.05.10;00.05.07
47.35.10;14.07.00
47.35.10.05;14.07.03
47.35.10.10;Ikke med i KLE
47.35.10.15;14.07.00
47.35.10.20;Ikke med i KLE
47.35.10.25;14.07.04
47.35.10.30;14.07.00
47.35.10.35;14.07.00
47.35.10.40;14.07.07
47.35.10.45;14.07.08
47.35.10.50;14.07.01
47.35.10.55;14.07.09
47.35.15;14.07.00
47.35.15.05;14.07.06
47.35.15.10;14.07.04
47.35.15.15;14.07.01
47.35.15.20;14.07.09
47.35.20;14.07.00
47.35.20.05;14.07.00
47.35.20.10;14.07.02
52;01
52.10;01.00.00
52.10.01;01.00.00
52.10.01.05;Ikke med i KLE
52.10.03;01.01.00
52.10.03.05;01.01.01
52.10.03.10;01.01.00
52.10.03.15;01.02.03
52.10.03.20;01.01.02
52.10.03.25;01.01.02
52.10.06;01.02.00
52.10.06.05;01.02.03
52.10.06.10;01.02.15
52.10.06.15;"01.02.05;01.02.27"
52.10.06.20;01.02.25
52.10.06.30;01.02.52
52.10.08;"01.03.00;01.07.00"
52.10.08.05;01.03.00
52.10.08.10;01.07.00
52.10.08.15;"01.03.00;01.03.02;01.03.03"
52.10.10;"01.02.32;01.05.18;05.26.00;13.03.24"
52.10.10.05;"05.26.00;05.26.05;05.26.10;05.26.15"
52.10.10.10;13.03.24
52.10.10.12;Ikke med i KLE
52.10.10.15;"01.02.32;01.02.36;01.02.40"
52.10.10.20;01.05.18
52.10.10.25;Ikke med i KLE
52.10.10.30;Ikke med i KLE
52.10.10.35;Ikke med i KLE
52.10.20;Ikke med i KLE
52.10.20.05;Ikke med i KLE
52.20;Ikke med i KLE
52.20.05;Ikke med i KLE
52.20.05.05;Ikke med i KLE
52.20.05.10;Ikke med i KLE
52.20.05.15;Ikke med i KLE
52.20.05.20;Ikke med i KLE
52.20.10;Ikke med i KLE
52.20.10.05;Ikke med i KLE
52.20.10.10;Ikke med i KLE
52.20.15;Ikke med i KLE
52.20.15.05;Ikke med i KLE
52.20.15.10;Ikke med i KLE
52.20.15.15;Ikke med i KLE
52.20.20;Ikke med i KLE
52.20.20.05;Ikke med i KLE
52.20.20.08;Ikke med i KLE
52.20.20.10;Ikke med i KLE
52.20.20.15;Ikke med i KLE
52.20.20.20;Ikke med i KLE
52.20.20.27;Ikke med i KLE
52.20.25;Ikke med i KLE
52.20.25.03;Ikke med i KLE
52.20.25.05;Ikke med i KLE
52.20.25.10;Ikke med i KLE
54;"02;03"
54.15;Ikke med i KLE
54.15.05;02.00.20
54.15.05.05;02.00.20
54.15.05.10;02.00.20
